ticker,c1_date,c1_idx,c1_price,prior_decline,low_rank,atr,rs_rank
A,2010-05-20,95,19.6912,0.1663,0.0,,
A,2010-06-04,105,19.2472,0.1851,0.0,,
A,2010-07-02,125,17.6295,0.2536,0.0,,
A,2010-07-12,130,17.8896,0.2425,0.0162,,
A,2010-07-19,135,17.4709,0.2603,0.0189,,
A,2010-08-16,155,17.2298,0.1707,0.0048,,
A,2010-08-30,165,17.5597,0.1517,0.024,,
A,2011-07-28,395,26.7583,0.1978,0.0,,
A,2011-08-04,400,23.4151,0.298,0.0,,
A,2011-08-18,410,20.4462,0.3847,0.0119,,
A,2011-09-30,440,19.8245,0.4034,0.0246,,
A,2011-12-12,490,21.3977,0.1751,0.0224,,
A,2011-12-19,495,21.0806,0.1873,0.0091,,
A,2012-05-14,595,24.7331,0.1499,0.0,,
A,2012-06-05,610,24.3453,0.1632,0.0119,,
A,2012-06-26,625,24.1545,0.1533,0.0088,,
A,2012-07-11,635,23.7087,0.1336,0.0,,
A,2012-07-25,645,23.0394,0.1581,0.0149,,
A,2014-04-11,1075,34.2422,0.1318,0.0,,
A,2015-08-25,1420,31.5466,0.1621,0.0,,
A,2015-09-01,1425,31.9047,0.1524,0.0114,,
A,2015-09-23,1440,32.0883,0.1476,0.0172,,
A,2015-09-30,1445,31.6106,0.1603,0.0288,,
A,2016-02-02,1530,34.2268,0.1225,0.0266,,
A,2016-02-09,1535,32.6573,0.1627,0.0164,,
A,2018-04-03,2075,61.7521,0.1237,0.0154,,
A,2018-05-15,2105,58.9958,0.1296,0.0,,
A,2018-06-27,2135,57.712,0.1209,0.0,,
A,2018-10-26,2220,59.4815,0.1302,0.0262,,
A,2019-01-03,2265,60.1419,0.1506,0.013,,
A,2019-05-21,2360,65.075,0.1662,0.0101,,
A,2019-05-29,2365,64.1035,0.1787,0.0033,,
A,2019-06-05,2370,65.1036,0.1659,0.0218,,
A,2020-02-28,2555,73.885,0.1449,0.0,,
A,2020-03-06,2560,75.3134,0.1284,0.0193,,
A,2021-10-06,2960,149.1021,0.1419,0.0085,,
A,2021-10-13,2965,145.7736,0.161,0.0153,,
A,2021-12-02,3000,146.5208,0.1542,0.0205,,
A,2021-12-16,3010,146.3364,0.1261,0.0175,,
A,2022-01-24,3035,134.2083,0.1582,0.0044,,
A,2022-02-14,3050,131.3807,0.176,0.0236,,
A,2022-02-22,3055,126.7944,0.1878,0.0018,,
A,2022-03-08,3065,125.6575,0.1951,0.0263,,
A,2022-04-12,3090,122.0301,0.132,0.0,,
A,2022-04-27,3100,114.5267,0.184,0.0,,
A,2022-05-11,3110,110.9356,0.1804,0.0078,,
A,2022-06-16,3135,111.8796,0.1734,0.0164,,
A,2022-09-27,3205,118.561,0.1453,0.0,,
A,2023-03-14,3320,135.3652,0.1299,0.0197,,
A,2023-03-21,3325,134.0056,0.1386,0.0288,,
A,2023-03-28,3330,129.7217,0.1662,0.0114,,
A,2023-04-26,3350,130.413,0.1425,0.0211,,
A,2023-05-10,3360,125.4559,0.1703,0.0056,,
A,2023-05-24,3370,118.5297,0.158,0.0,,
A,2023-06-01,3375,113.8959,0.1771,0.0051,,
A,2023-06-08,3380,112.3578,0.1882,0.0,,
A,2023-09-12,3445,110.6976,0.1221,0.0,,
A,2023-09-19,3450,110.2363,0.1258,0.0,,
A,2023-09-26,3455,108.6855,0.1381,0.0091,,
A,2023-10-03,3460,108.4424,0.14,0.0069,,
A,2023-10-24,3475,103.8985,0.1753,0.0,,
A,2023-10-31,3480,101.666,0.193,0.0217,,
A,2024-05-30,3625,129.6825,0.1502,0.0,,
A,2024-06-06,3630,131.064,0.1411,0.0185,,
A,2024-06-13,3635,128.8438,0.1557,0.0012,,
A,2024-06-21,3640,131.4883,0.1383,0.0262,,
A,2024-06-28,3645,127.9162,0.1617,0.0,,
A,2024-07-08,3650,124.6341,0.1832,0.0023,,
A,2024-11-19,3745,124.4562,0.1521,0.0,,
A,2025-03-05,3815,125.4997,0.171,0.028,,
A,2025-03-12,3820,118.8929,0.2146,0.0,,
A,2025-03-26,3830,118.9425,0.2143,0.0219,,
A,2025-04-02,3835,115.3082,0.2383,0.017,,
A,2025-12-18,4015,136.6557,0.1291,0.0018,,
A,2026-01-20,4035,135.83,0.1344,0.0,,
A,2026-01-27,4040,135.95,0.1336,0.0067,,
A,2026-02-03,4045,132.14,0.1579,0.0,,
A,2026-02-10,4050,129.0,0.1779,0.0118,,
A,2026-02-18,4055,126.94,0.1911,0.0248,,
A,2026-02-25,4060,124.72,0.1906,0.0148,,
AAPL,2012-05-14,595,16.726,0.1226,0.0,,
AAPL,2012-10-25,710,18.3421,0.1318,0.0,,
AAPL,2012-11-05,715,17.5922,0.1673,0.0136,,
AAPL,2012-11-12,720,16.4093,0.2233,0.0094,,
AAPL,2012-12-26,750,15.5075,0.2436,0.0063,,
AAPL,2013-01-10,760,15.8252,0.1907,0.0273,,
AAPL,2013-01-25,770,13.2972,0.275,0.0,,
AAPL,2013-02-25,790,13.4635,0.2443,0.0125,,
AAPL,2013-03-04,795,12.7717,0.2663,0.0,,
AAPL,2013-04-02,815,13.0679,0.2026,0.0232,,
