z1_cave_depth_pct,z1_cave_symmetry,z1_c2_vs_c1,z1_neckline_height,z1_pattern_length,z1_decline_magnitude,z1_decline_bars,z1_higher_low,z4_spring_depth,z4_spring_present,z2_c2_vs_fib382,z2_c2_vs_fib500,z2_c2_vs_fib618,z2_fib_alignment,z3_rvol_c2,z3_volume_trend,z3_c2_vol_vs_c1,z3_vol_declining,z3_obv_slope,z3_rsi_c2,z3_rsi_c1,z3_rsi_divergence,z3_rsi_oversold,z3_macd_c2,z3_macd_rising,z4_atr_c2,z4_atr_pct,z4_atr_compression,z4_nr4,z4_nr7,z4_bb_width,z5_rs_rank_c2,z5_rs_rank_c1,z5_rs_improving,z5_price_vs_sma50,z5_price_vs_sma200,z5_sma50_slope,z6_c2_body_ratio,z6_c2_lower_wick,z6_c2_is_bullish,z6_pattern_bars,z6_pattern_too_short,z6_pattern_too_long,ticker,c1_date,c1_idx,c2_idx,label,outcome,bars_to_breakout,max_gain,max_loss
0.235753,0.936639,0.063361,0.308477,55.0,0.403398,60.0,1.0,0.059201,1.0,0.412601,0.294601,0.176601,0.176601,1.098904,0.003208,0.84965,1.0,-0.169167,34.66528,37.603819,-2.938539,1.0,-0.486093,0.0,0.805725,0.038221,0.89289,0.0,0.0,0.185197,50.0,50.0,0.0,-0.069094,-0.196462,0.011304,0.493828,0.11111,0.0,55.0,0.0,0.0,A,2011-09-30,440,495,1,breakout,19,0.2419,0.0
0.069501,0.93248,-0.06752,0.074692,34.0,0.163185,60.0,1.0,0.067521,1.0,1.521982,1.403982,1.285982,1.285982,1.689294,0.193077,1.036841,0.0,-0.236936,29.155989,34.273872,-5.117883,1.0,-0.417845,0.0,0.70779,0.031178,0.946733,0.0,0.0,0.107988,50.0,50.0,0.0,-0.084846,-0.097935,-0.01722,0.733333,0.214815,0.0,34.0,0.0,0.0,A,2012-06-05,610,644,0,cave1_violated,-1,0.0149,0.0
0.114213,0.985121,-0.014879,0.12894,63.0,0.158083,60.0,1.0,0.01488,1.0,0.733394,0.615394,0.497394,0.497394,0.945293,-0.064216,1.854965,0.0,-0.133109,24.847684,36.790617,-11.942933,1.0,-0.387605,0.0,0.516384,0.022752,1.05854,1.0,1.0,0.118044,50.0,50.0,0.0,-0.063746,-0.117839,-0.012531,0.371426,0.0,1.0,63.0,0.0,0.0,A,2012-07-25,645,708,0,timeout,-1,0.0887,0.0
0.100072,0.99104,-0.00896,0.111199,1.0,0.129644,60.0,1.0,0.00896,0.0,0.698576,0.580576,0.462576,0.462576,1.900713,0.414981,0.406368,1.0,-0.091748,22.691952,24.133905,-1.441953,1.0,-0.458903,0.0,1.9085,0.032642,1.092519,0.0,0.0,0.114264,50.0,50.0,0.0,-0.080449,-0.075033,-0.004984,0.425373,0.216416,0.0,1.0,1.0,0.0,A,2018-05-15,2105,2106,0,cave1_violated,-1,0.0707,0.0119
0.098583,0.957767,-0.042233,0.109364,36.0,0.183988,60.0,1.0,0.042233,1.0,1.004169,0.886169,0.768169,0.768169,1.418104,-0.365577,1.335741,0.0,-0.034032,24.999119,26.535814,-1.536695,1.0,-2.16674,0.0,3.86764,0.03526,0.953837,0.0,0.0,0.175238,50.0,50.0,0.0,-0.083107,-0.210822,-0.021327,0.507388,0.009852,0.0,36.0,0.0,0.0,A,2022-04-27,3100,3136,0,cave1_violated,-1,0.0104,0.0
0.079471,0.928349,-0.071651,0.086332,56.0,0.179639,60.0,1.0,0.085364,1.0,1.447943,1.329943,1.211943,1.211943,0.988365,-0.021229,1.099904,0.0,-0.511746,10.325353,35.11401,-24.788657,1.0,-0.325377,0.0,0.292166,0.024242,1.01315,1.0,1.0,0.167094,50.0,50.0,0.0,-0.087854,-0.213958,-0.00396,0.696821,0.030571,0.0,56.0,0.0,0.0,AAPL,2013-04-09,820,876,0,cave1_violated,-1,0.007,0.0
0.153625,0.944995,0.055005,0.18151,80.0,0.210951,60.0,1.0,1e-06,0.0,0.314957,0.196957,0.078957,0.078957,1.117119,0.383571,0.432163,1.0,-0.08144,24.463054,19.943007,4.520047,1.0,-0.331921,0.0,0.606271,0.024697,1.113516,0.0,0.0,0.107907,50.0,50.0,0.0,-0.058427,-0.092001,0.005157,0.929663,0.0,0.0,80.0,0.0,0.0,AAPL,2015-08-25,1420,1500,0,cave1_violated,-1,0.0,0.076
0.130263,0.947687,0.052313,0.149773,65.0,0.121238,60.0,1.0,0.03196,1.0,0.268718,0.150718,0.032718,0.032718,1.092813,-0.185022,1.257792,0.0,-0.020301,13.401563,42.211929,-28.810366,1.0,-1.319923,0.0,3.060622,0.017068,1.084964,0.0,0.0,0.107082,50.0,50.0,0.0,-0.032894,0.008416,0.012422,0.312747,0.38996,0.0,65.0,0.0,0.0,AAPL,2023-10-03,3460,3525,0,timeout,-1,0.0773,0.0
0.091763,0.972844,0.027156,0.101035,42.0,0.184382,60.0,1.0,0.0,0.0,0.349216,0.231216,0.113216,0.113216,1.590353,0.140816,1.135314,0.0,-0.013938,32.965412,17.5325,15.432912,1.0,-1.234103,0.0,3.593701,0.021952,1.087307,0.0,0.0,0.062901,50.0,50.0,0.0,-0.031623,-0.036058,-0.02291,0.391462,0.405694,0.0,42.0,0.0,0.0,ABBV,2024-11-18,2990,3032,1,breakout,7,0.0869,0.0
0.24511,0.937004,0.062996,0.324697,64.0,0.45927,60.0,1.0,0.069369,1.0,0.423985,0.305985,0.187985,0.187985,1.049369,0.530246,0.506094,1.0,-0.236734,20.586187,33.357763,-12.771576,1.0,-1.200483,0.0,5.782466,0.05683,1.176122,1.0,0.0,0.222934,50.0,50.0,0.0,-0.108668,-0.256815,0.035125,0.129682,0.587896,0.0,64.0,0.0,0.0,ABNB,2022-06-23,385,449,0,cave1_violated,-1,0.1789,0.0956
