ticker,c1_date,c1_idx,c1_price,c2_idx,c2_price,neckline_price,prior_decline,dtw_distance,shapelet_conf,rs_rank,atr
A,2011-09-30,440,19.8245,495,21.0806,25.9399,0.4034,0.6457,0.7016,,
A,2012-06-05,610,24.3453,644,22.7015,26.1637,0.1632,0.7548,0.6251,,
A,2012-07-25,645,23.0394,708,22.6966,26.0101,0.1581,0.6281,0.8636,,
A,2018-05-15,2105,58.9958,2106,58.4672,65.5561,0.1296,0.5297,0.6422,,
A,2022-04-27,3100,114.5267,3136,109.6899,127.0518,0.184,0.5949,0.3544,,
AAPL,2013-04-09,820,12.9824,876,12.0522,14.1032,0.1796,0.702,0.3394,,
AAPL,2015-08-25,1420,23.2687,1500,24.5486,27.4922,0.211,0.6629,0.6651,,
AAPL,2023-10-03,3460,170.4029,3525,179.3172,195.9247,0.1212,0.6812,0.7059,,
ABBV,2024-11-18,2990,159.38,3032,163.7082,175.4829,0.1844,0.7791,0.4509,,
ABNB,2022-06-23,385,95.72,449,101.75,126.8,0.4593,0.6585,0.5259,,
ABT,2022-09-27,3205,91.8568,3223,89.2211,98.5318,0.1223,0.7623,0.4757,,
ACGL,2018-01-11,2020,28.1688,2080,24.9674,29.6078,0.132,0.7741,0.3853,,
ACGL,2023-12-13,3510,74.5314,3519,69.9291,85.5809,0.1291,0.7599,0.6971,,
ACN,2011-08-18,410,37.5654,478,41.7267,48.0522,0.2298,0.7821,0.9194,,
ACN,2022-07-11,3150,260.4534,3205,243.7592,305.0366,0.1562,0.704,0.7421,,
ACN,2022-09-20,3200,256.977,3263,243.9453,289.2481,0.1576,0.6883,0.8348,,
ACN,2023-03-14,3320,242.1427,3359,253.6847,274.1081,0.1415,0.6911,0.7575,,
ACN,2025-09-17,3950,241.24,3996,240.79,252.98,0.2045,0.6989,0.6949,,
ADI,2018-10-05,2205,76.0215,2265,70.8007,82.0089,0.128,0.6165,0.2382,,
ADI,2019-05-29,2365,86.4839,2426,92.334,110.4782,0.1635,0.7848,0.9783,,
ADM,2019-05-29,2365,31.6276,2420,30.1669,34.4014,0.1284,0.6067,0.4133,,
ADM,2022-07-18,3155,64.7963,3208,72.1873,81.573,0.2579,0.7298,0.5942,,
ADP,2020-07-29,2660,122.1261,2699,115.4097,134.2478,0.1441,0.7641,0.9255,,
ADSK,2014-10-16,1205,49.89,1277,54.01,61.95,0.1425,0.7616,0.8619,,
ADSK,2019-08-15,2420,142.92,2465,139.67,155.69,0.1797,0.7203,0.4756,,
ADSK,2022-04-27,3100,180.47,3135,164.31,214.09,0.282,0.6061,0.5236,,
ADSK,2023-05-03,3355,193.7,3391,200.78,221.43,0.1552,0.6734,0.7324,,
AEP,2015-03-26,1315,37.458,1378,35.9643,39.2317,0.1358,0.7575,0.3101,,
AES,2015-01-28,1275,8.2048,1306,8.0027,8.7077,0.1427,0.6908,0.6072,,
AES,2016-10-11,1705,8.1728,1729,8.0347,8.9012,0.1312,0.789,0.5702,,
AES,2021-07-13,2900,20.9788,2958,19.3481,21.271,0.1249,0.6579,0.5151,,
AES,2022-02-14,3050,18.4204,3111,16.821,22.5061,0.1334,0.7656,0.7972,,
AES,2022-04-27,3100,18.1114,3135,16.38,19.6231,0.1953,0.6519,0.7441,,
AFL,2012-04-23,580,14.7703,609,13.8364,16.2523,0.1668,0.6014,0.2085,,
AFL,2014-10-16,1205,21.2846,1277,21.8934,23.7575,0.1208,0.7712,0.6246,,
AFL,2022-07-18,3155,49.8164,3216,53.1377,59.3622,0.1811,0.7708,0.7842,,
AIG,2011-09-30,440,16.6328,479,15.2082,20.0957,0.2734,0.6775,0.6829,,
AIG,2012-11-12,720,24.2331,763,26.4003,26.7185,0.1406,0.7759,0.6286,,
AIG,2014-10-16,1205,37.8484,1277,37.5285,43.3417,0.123,0.7998,0.5328,,
AIG,2016-01-26,1525,43.5201,1537,39.3245,48.6575,0.1263,0.7937,0.2278,,
AIG,2024-08-05,3670,67.9396,3693,69.6342,74.6115,0.1242,0.6973,0.6293,,
AIG,2026-01-12,4030,74.09,4036,71.89,86.48,0.1444,0.7166,0.6161,,
AIZ,2012-05-21,600,27.303,669,25.7275,28.0006,0.1705,0.6926,0.2406,,
AKAM,2021-02-25,2805,95.49,2852,105.19,111.62,0.2072,0.7913,0.8462,,
AKAM,2022-05-11,3110,98.11,3135,87.46,102.74,0.1953,0.7436,0.615,,
AKAM,2022-09-20,3200,85.93,3266,82.72,93.35,0.1239,0.6359,0.6661,,
AKAM,2024-06-13,3635,88.35,3673,91.57,97.48,0.1941,0.607,0.6321,,
ALB,2012-07-25,645,45.1916,689,42.4069,50.2484,0.1626,0.6554,0.4369,,
ALB,2014-10-02,1195,49.9206,1275,47.1645,52.5997,0.1857,0.7841,0.6431,,
ALB,2015-09-09,1430,37.0275,1476,40.6556,47.0416,0.2785,0.6335,0.3486,,
ALB,2018-12-11,2250,80.5959,2322,73.1031,83.8074,0.1751,0.5933,0.426,,
ALB,2019-05-21,2360,62.4774,2428,54.3634,67.3721,0.2545,0.7277,0.7227,,
ALGN,2014-04-28,1085,49.17,1118,50.78,55.12,0.1725,0.5057,0.7366,,
ALGN,2024-08-05,3670,207.94,3726,207.66,257.17,0.2584,0.6644,0.3425,,
ALL,2011-09-23,435,16.593,478,17.8537,20.2002,0.2572,0.788,0.8257,,
ALL,2022-07-18,3155,109.632,3222,108.4895,121.7604,0.1622,0.612,0.5131,,
ALLE,2021-11-26,2020,122.2112,2080,103.7813,125.4166,0.1244,0.7994,0.1775,,
ALLE,2023-08-08,2445,108.4711,2500,94.0358,111.3233,0.1201,0.6563,0.7627,,
ALLE,2024-06-14,2660,114.6718,2696,124.6844,137.3184,0.1364,0.7899,0.7247,,
ALLE,2025-01-14,2805,128.7453,2863,118.0841,134.0241,0.151,0.6929,0.4852,,
AMAT,2010-08-16,155,8.7232,166,8.1208,9.8127,0.1634,0.7291,0.2685,,
AMAT,2011-09-30,440,8.3026,479,8.2007,10.1298,0.2236,0.601,0.2973,,
AMAT,2012-05-07,590,9.088,644,8.502,9.4603,0.1477,0.5676,0.2699,,
AMAT,2015-09-30,1445,12.9868,1519,14.2963,17.1235,0.2348,0.374,0.5822,,
AMAT,2018-02-02,2035,46.2219,2090,44.5152,56.2927,0.1366,0.7484,0.9356,,
AMCR,2019-08-16,1825,37.2655,1861,35.1028,38.8679,0.1514,0.7054,0.3652,,
AMCR,2023-10-25,2880,38.6145,2955,40.5996,44.5315,0.1336,0.7014,0.6171,,
AMCR,2024-12-19,3170,45.177,3243,41.7052,50.0755,0.1629,0.6722,0.3513,,
AMD,2021-03-04,2810,77.75,2859,73.09,85.41,0.2005,0.5562,0.2489,,
AMGN,2010-07-02,125,34.9693,163,34.4485,37.8372,0.1544,0.6395,0.7467,,
AMGN,2015-09-01,1425,108.2399,1476,111.3847,119.4045,0.1611,0.7464,0.8901,,
AMGN,2016-03-09,1555,104.6711,1631,108.1119,122.0915,0.1379,0.6349,0.8065,,
AMP,2018-05-01,2095,119.2626,2135,119.4887,128.4616,0.1655,0.6814,0.3825,,
AMP,2022-05-11,3110,242.8659,3153,211.3344,262.4252,0.1813,0.4848,0.5252,,
AMP,2022-07-01,3145,225.3999,3205,240.2918,275.1671,0.2053,0.6948,0.8577,,
AMT,2023-02-21,3305,184.9312,3372,165.851,191.9148,0.121,0.6896,0.4295,,
AMT,2024-04-10,3590,170.0326,3647,182.7855,183.7981,0.1312,0.7089,0.6169,,
AMZN,2011-03-21,305,8.226,366,9.1825,10.3035,0.1398,0.7708,0.7247,,
AMZN,2014-04-28,1085,14.829,1152,15.353,18.042,0.2641,0.5877,0.3592,,
AMZN,2014-10-09,1200,15.7685,1267,14.3475,16.932,0.126,0.7915,0.6018,,
AMZN,2022-12-29,3270,84.18,3318,90.73,112.91,0.3048,0.6721,0.8224,,
AMZN,2024-08-05,3670,161.02,3714,180.8,193.88,0.1949,0.7275,0.7485,,
AMZN,2026-02-10,4050,206.96,4052,199.6,247.38,0.1634,0.7488,0.5789,,
ANET,2018-12-14,1140,13.7756,1146,11.8062,15.2431,0.1972,0.7441,0.58,,
AON,2011-09-23,435,34.6995,478,38.0038,44.1898,0.2259,0.6698,0.839,,
AON,2018-12-26,2260,132.6378,2306,149.0587,163.9503,0.1527,0.7924,0.7029,,
