ticker,c1_idx,c2_idx,c1_date,c2_date,c1_price,c2_price,neckline,xgb_prob,mtf_score,mtf_tfs,mtf_aligned,bayes_prob,bayes_fired,bayes_fire_bar,combined_score,tier,prior_decline
GWW,3816,3893,2025-03-06,2025-06-26,987.07,1008.76,1094.37,0.9732,1.0,2,True,0.9897,True,2.0,0.9835,FULL+,0.1606
OMC,3888,3918,2025-06-18,2025-08-01,68.13,69.78,76.43,0.9531,1.0,2,True,0.9817,True,3.0,0.9711,FULL+,0.1544
SBAC,3780,3839,2025-01-13,2025-04-08,191.02,205.4,227.37,0.9106,1.0,2,True,0.9602,True,3.0,0.9433,FULL+,0.2145
EG,3996,4034,2025-11-20,2026-01-16,304.99,318.81,341.26,0.987,0.6667,2,True,0.99,True,5.0,0.9239,FULL+,0.1641
ACN,3948,3996,2025-09-15,2025-11-20,237.87,240.79,252.98,0.9848,0.6667,2,True,0.99,True,1.0,0.9227,FULL+,0.2197
LEN,3846,3888,2025-04-17,2025-06-18,103.35,102.53,112.58,0.8842,1.0,2,True,0.9254,True,1.0,0.9197,FULL+,0.2373
ACN,3951,3996,2025-09-18,2025-11-20,239.55,240.79,252.98,0.9764,0.6667,2,True,0.988,True,1.0,0.9179,FULL+,0.2101
LII,3975,4023,2025-10-22,2025-12-31,491.77,485.58,510.28,0.9773,0.6667,2,True,0.9847,True,1.0,0.9174,FULL+,0.2271
ACN,3957,3996,2025-09-26,2025-11-20,238.97,240.79,252.98,0.9724,0.6667,2,True,0.986,True,1.0,0.9154,FULL+,0.212
META,3436,3454,2026-01-20,2026-02-13,604.12,639.77,738.31,0.8329,1.0,2,True,0.9871,True,12.0,0.9126,FULL+,0.1956
EG,3999,4034,2025-11-25,2026-01-16,314.04,318.81,341.26,0.9609,0.6667,2,True,0.9878,True,5.0,0.9101,FULL+,0.1393
BIIB,3837,3890,2025-04-04,2025-06-23,122.98,124.76,135.49,0.9478,0.6667,2,True,0.9878,True,6.0,0.9036,FULL+,0.197
LII,3981,4023,2025-10-30,2025-12-31,494.39,485.58,510.28,0.9315,0.6667,2,True,0.9531,True,1.0,0.885,FULL+,0.19
DE,3963,4001,2025-10-06,2025-11-28,455.73,462.89,496.41,0.922,0.6667,2,True,0.9676,True,3.0,0.8846,FULL+,0.1248
LII,3837,3887,2025-04-04,2025-06-17,526.23,533.49,597.88,0.8936,0.6667,2,True,0.9521,True,3.0,0.8658,FULL+,0.2034
LYB,3896,3944,2025-10-22,2025-12-31,43.41,42.78,47.35,0.9919,0.33,1,False,0.99,True,2.0,0.8589,FULL+,0.2593
PM,3963,4027,2025-10-06,2026-01-07,152.15,155.15,155.38,0.9813,0.33,1,False,0.9893,True,1.0,0.8534,FULL+,0.1543
LULU,3945,3996,2025-09-10,2025-11-20,163.9,164.69,181.39,0.9761,0.33,1,False,0.9857,True,2.0,0.8498,FULL+,0.3383
TMO,3861,3909,2025-05-09,2025-07-21,402.05,404.27,434.14,0.9749,0.33,1,False,0.9873,True,1.0,0.8496,FULL+,0.2522
TMO,3858,3909,2025-05-06,2025-07-21,405.93,404.27,434.14,0.974,0.33,1,False,0.9868,True,1.0,0.849,FULL+,0.2872
DOC,3879,3924,2025-06-05,2025-08-11,16.2,16.09,18.28,0.8436,0.6667,2,True,0.9778,True,8.0,0.8485,FULL+,0.1578
IEX,3921,3956,2025-08-06,2025-09-25,158.46,158.02,168.16,0.9668,0.33,1,False,0.9801,True,2.0,0.8435,FULL+,0.1587
CCI,4047,4056,2026-02-05,2026-02-19,78.37,86.47,91.86,0.8773,0.6667,2,True,0.9029,True,1.0,0.8429,FULL+,0.1585
TMO,3864,3909,2025-05-14,2025-07-21,404.96,404.27,434.14,0.9641,0.33,1,False,0.9817,True,1.0,0.8426,FULL+,0.2468
TMO,3879,3909,2025-06-05,2025-07-21,397.29,404.27,434.14,0.9635,0.33,1,False,0.9814,True,1.0,0.8422,FULL+,0.2369
ZBH,3993,4041,2025-11-17,2026-01-28,88.41,85.71,97.29,0.7359,1.0,2,True,0.9119,True,6.0,0.8415,FULL+,0.175
PM,3960,4027,2025-10-01,2026-01-07,157.92,155.15,155.38,0.9597,0.33,1,False,0.9766,True,1.0,0.8389,FULL+,0.1223
PM,3966,4027,2025-10-09,2026-01-07,155.43,155.15,155.38,0.9549,0.33,1,False,0.9738,True,1.0,0.8356,FULL+,0.1361
AXON,3816,3837,2025-03-06,2025-04-04,499.31,497.13,577.18,0.9408,0.33,1,False,0.9853,True,3.0,0.832,FULL+,0.2968
IEX,3924,3995,2025-08-11,2025-11-19,156.29,161.09,172.77,0.9298,0.33,1,False,0.9718,True,2.0,0.8225,FULL+,0.1683
JBL,3975,3996,2025-10-22,2025-11-20,198.61,192.43,219.1,0.9176,0.33,1,False,0.9814,True,3.0,0.8192,FULL+,0.1523
PEP,3888,3917,2025-06-18,2025-07-31,125.46,134.06,141.37,0.9201,0.33,1,False,0.9742,True,4.0,0.8183,FULL+,0.138
LHX,3801,3838,2025-02-12,2025-04-07,196.16,196.84,215.21,0.9263,0.33,1,False,0.9378,True,2.0,0.8105,FULL+,0.2297
ERIE,3852,3894,2025-04-28,2025-06-27,342.67,335.89,368.93,0.9129,0.33,1,False,0.9532,True,2.0,0.8084,FULL+,0.2265
SNA,3846,3889,2025-04-17,2025-06-20,297.35,299.62,322.94,0.8865,0.33,1,False,0.9886,True,7.0,0.8059,FULL+,0.1428
LMT,3798,3838,2025-02-07,2025-04-07,429.4,419.36,466.43,0.9143,0.33,1,False,0.9328,True,1.0,0.803,FULL+,0.2163
LMT,3801,3838,2025-02-12,2025-04-07,427.06,419.36,466.43,0.9134,0.33,1,False,0.9321,True,1.0,0.8023,FULL+,0.2026
EXPE,3837,3847,2025-04-04,2025-04-21,140.71,145.49,160.37,0.9054,0.33,1,False,0.945,True,1.0,0.8022,FULL+,0.3117
HD,3822,3888,2025-03-14,2025-06-18,344.94,342.85,373.88,0.8947,0.3333,1,False,0.9538,True,2.0,0.8002,FULL+,0.1679
COST,3819,3888,2025-03-11,2025-06-18,926.68,972.18,1053.9,0.903,0.33,1,False,0.9314,True,2.0,0.7969,FULL+,0.1359
MSI,3861,3905,2025-05-09,2025-07-15,403.17,406.45,422.94,0.8811,0.33,1,False,0.93,True,1.0,0.7855,FULL+,0.1271
ICE,3780,3839,2025-01-13,2025-04-08,142.28,150.34,174.88,0.6147,1.0,2,True,0.9041,True,4.0,0.7786,FULL+,0.1354
ISRG,3822,3884,2025-03-14,2025-06-12,484.44,513.0,565.94,0.8812,0.33,1,False,0.9024,True,9.0,0.7773,FULL+,0.2064
LHX,3798,3838,2025-02-07,2025-04-07,201.55,196.84,215.21,0.878,0.33,1,False,0.8962,True,2.0,0.7739,FULL+,0.2162
TMO,3867,3909,2025-05-19,2025-07-21,412.81,404.27,434.14,0.8564,0.33,1,False,0.9226,True,1.0,0.771,FULL+,0.2322
TRGP,3621,3624,2025-05-01,2025-05-06,160.31,155.35,176.01,0.8407,0.33,1,False,0.9455,True,4.0,0.77,FULL+,0.2237
DG,3768,3813,2024-12-23,2025-03-03,72.44,70.34,77.33,0.8567,0.33,1,False,0.9099,True,2.0,0.7673,FULL+,0.1394
STE,3768,3839,2024-12-23,2025-04-08,205.92,206.99,231.0,0.839,0.33,1,False,0.9069,True,1.0,0.7575,FULL+,0.1402
HSY,3777,3826,2025-01-07,2025-03-20,159.22,159.57,180.81,0.8087,0.33,1,False,0.9235,True,5.0,0.7474,FULL,0.1453
AWK,3981,4049,2025-10-30,2026-02-09,125.04,122.12,133.23,0.7478,0.6667,2,True,0.7941,True,1.0,0.7455,FULL,0.1334
WRB,4038,4039,2026-01-23,2026-01-26,67.04,66.8,70.7,0.8976,0.0,0,False,0.9432,True,3.0,0.7318,FULL,0.1269
DOC,4014,4052,2025-12-17,2026-02-12,16.1,16.18,17.97,0.7112,0.6667,2,True,0.7619,True,1.0,0.7175,FULL,0.1436
ES,3780,3839,2025-01-13,2025-04-08,52.75,51.85,60.24,0.736,0.33,1,False,0.945,True,4.0,0.7175,FULL,0.1571
ORLY,4017,4047,2025-12-22,2026-02-05,91.75,92.86,101.37,0.7384,0.33,1,False,0.94,True,5.0,0.7172,FULL,0.149
KO,3768,3839,2024-12-23,2025-04-08,60.59,66.95,71.61,0.7551,0.33,1,False,0.8521,True,1.0,0.6992,FULL,0.1253
ODFL,3822,3888,2025-03-14,2025-06-18,161.37,155.21,174.85,0.5774,1.0,2,True,0.6657,True,3.0,0.6884,FULL,0.2223
SLB,3891,3971,2025-06-24,2025-10-16,32.78,32.47,36.51,0.6295,0.6667,2,True,0.7766,True,4.0,0.681,FULL,0.1995
LYB,3893,3944,2025-10-17,2025-12-31,44.36,42.78,47.35,0.7055,0.33,1,False,0.8534,True,2.0,0.6748,FULL,0.2612
FAST,4023,4060,2025-12-31,2026-02-25,39.91,44.63,48.28,0.7393,0.33,1,False,0.7866,True,1.0,0.6716,FULL,0.1557
DOC,4017,4052,2025-12-22,2026-02-12,15.85,16.18,17.97,0.6451,0.6667,2,True,0.7027,True,1.0,0.6667,FULL,0.1572
MPC,3645,3651,2025-12-22,2025-12-31,163.95,161.82,195.16,0.6883,0.33,1,False,0.8429,True,2.0,0.663,FULL,0.1725
LDOS,3813,3876,2025-03-03,2025-06-02,127.9,140.64,159.16,0.6234,0.33,1,False,0.9073,True,4.0,0.6499,REDUCED,0.2152
BBY,4059,4063,2026-02-24,2026-03-02,62.73,61.59,70.41,0.5921,0.6667,3,True,0.7307,True,1.0,0.6486,REDUCED,0.2151
KMB,3783,3839,2025-01-16,2025-04-08,120.18,127.6,141.12,0.6762,0.33,1,False,0.7792,True,2.0,0.6378,REDUCED,0.1213
DOC,4011,4052,2025-12-12,2026-02-12,16.32,16.18,17.97,0.6013,0.6667,2,True,0.6622,True,1.0,0.6327,REDUCED,0.1321
ES,3786,3839,2025-01-22,2025-04-08,52.68,51.85,59.85,0.5874,0.33,1,False,0.8976,True,4.0,0.629,REDUCED,0.1581
LDOS,3810,3876,2025-02-26,2025-06-02,128.28,140.64,159.16,0.584,0.33,1,False,0.8925,True,4.0,0.6257,REDUCED,0.2178
ESS,3921,3980,2025-08-06,2025-10-29,249.59,244.75,264.97,0.6185,0.33,1,False,0.8276,True,3.0,0.6235,REDUCED,0.1301
TECH,3858,3921,2025-05-06,2025-08-06,47.44,49.66,58.53,0.6116,0.33,1,False,0.838,True,4.0,0.6232,REDUCED,0.3438
AVGO,4038,4046,2026-01-23,2026-02-04,320.05,308.05,354.61,0.7367,0.0,0,False,0.836,True,2.0,0.6191,REDUCED,0.2235
ORLY,4020,4047,2025-12-26,2026-02-05,92.25,92.86,101.37,0.5638,0.33,1,False,0.8777,True,5.0,0.6112,REDUCED,0.1271
TECH,3864,3921,2025-05-14,2025-08-06,47.58,49.66,58.53,0.5854,0.33,1,False,0.8226,True,4.0,0.6055,REDUCED,0.2726
FTNT,4035,4059,2026-01-20,2026-02-24,75.46,75.23,87.82,0.6195,0.33,1,False,0.7599,True,2.0,0.6037,REDUCED,0.1378
TRGP,3609,3624,2025-04-14,2025-05-06,161.75,155.35,176.01,0.5693,0.33,1,False,0.8128,True,4.0,0.5945,REDUCED,0.2389
HUM,3903,3952,2025-07-11,2025-09-19,229.08,250.92,309.83,0.5034,0.33,1,False,0.9175,True,10.0,0.5929,REDUCED,0.1927
HSY,3780,3839,2025-01-13,2025-04-08,151.29,154.36,180.81,0.5592,0.33,1,False,0.8064,True,4.0,0.5875,REDUCED,0.1878
MGM,3993,4041,2025-11-17,2026-01-28,31.39,32.75,37.44,0.5425,0.33,1,False,0.8296,True,4.0,0.5861,REDUCED,0.2107
IR,2072,2115,2025-08-11,2025-10-10,76.39,76.06,84.14,0.4859,0.6667,2,True,0.6855,True,7.0,0.5819,REDUCED,0.1412
MPC,3648,3651,2025-12-26,2025-12-31,162.87,161.82,195.16,0.5699,0.33,1,False,0.763,True,2.0,0.5798,REDUCED,0.178
KMB,3780,3839,2025-01-13,2025-04-08,119.03,127.6,141.12,0.5746,0.33,1,False,0.6954,True,2.0,0.5619,REDUCED,0.1338
MGM,3966,4041,2025-10-09,2026-01-28,32.45,32.75,37.44,0.4996,0.33,1,False,0.8039,True,4.0,0.557,REDUCED,0.1841
